iter	Passed	Remaining
407	5150	7473
408	5163	7460
409	5174	7446
410	5187	7433
411	5198	7419
412	5210	7405
413	5221	7390
414	5234	7378
415	5246	7365
416	5254	7346
417	5279	7351
418	5291	7337
419	5302	7322
420	5313	7307
421	5326	7294
422	5337	7280
423	5348	7266
424	5359	7251
425	5373	7240
426	5383	7224
427	5396	7211
428	5407	7198
429	5419	7183
430	5428	7167
431	5440	7153
432	5453	7140
433	5464	7126
434	5476	7113
435	5488	7100
436	5501	7087
437	5515	7076
438	5526	7062
439	5540	7051
440	5553	7039
441	5565	7025
442	5576	7011
443	5589	6999
444	5601	6986
445	5614	6974
446	5627	6961
447	5639	6948
448	5652	6935
449	5664	6922
450	5674	6907
451	5685	6893
452	5698	6880
453	5711	6868
454	5722	6854
455	5734	6841
456	5747	6829
457	5762	6819
458	5776	6809
459	5790	6796
460	5801	6783
461	5814	6770
462	5827	6758
463	5840	6746
464	5852	6734
465	5865	6720
466	5878	6708
467	5891	6697
468	5903	6684
469	5914	6669
470	5926	6656
471	5939	6643
472	5952	6631
473	5962	6616
474	5974	6603
475	5986	6590
476	5999	6578
477	6010	6563
478	6022	6550
479	6035	6538
480	6048	6525
481	6059	6512
482	6072	6499
483	6084	6486
484	6096	6473
485	6108	6460
486	6119	6446
487	6131	6433
488	6144	6420
489	6157	6408
490	6168	6394
491	6181	6382
492	6194	6370
493	6204	6355
494	6215	6341
495	6227	6327
496	6239	6315
497	6249	6299
498	6261	6286
499	6275	6275
500	6289	6264
501	6301	6251
502	6314	6239
503	6327	6227
504	6340	6214
505	6352	6201
506	6365	6189
507	6380	6179
508	6395	6168
509	6413	6161
510	6428	6151
511	6441	6139
512	6455	6128
513	6470	6118
514	6485	6107
515	6500	6097
516	6517	6088
517	6531	6077
518	6542	6063
519	6553	6049
520	6566	6037
521	6579	6024
522	6590	6011
523	6602	5997
524	6614	5984
525	6627	5972
526	6635	5955
527	6646	5941
528	6658	5928
529	6669	5914
530	6680	5900
531	6693	5888
532	6706	5875
533	6716	5861
534	6728	5848
535	6740	5835
536	6752	5822
537	6763	5807
538	6775	5794
539	6786	5781
540	6797	5766
541	6808	5753
542	6820	5739
543	6831	5726
544	6842	5712
545	6854	5699
546	6865	5685
547	6876	5671
548	6887	5658
549	6899	5645
550	6909	5630
551	6920	5616
552	6933	5604
553	6944	5591
554	6955	5577
555	6972	5568
556	6990	5559
557	7004	5548
558	7019	5537
559	7031	5524
560	7043	5511
561	7054	5497
562	7065	5484
563	7076	5470
564	7088	5457
565	7100	5444
566	7112	5431
567	7125	5419
568	7137	5406
569	7149	5393
570	7161	5380
571	7173	5367
572	7183	5353
573	7194	5339
574	7207	5327
575	7216	5312
576	7228	5298
577	7240	5285
578	7250	5271
579	7261	5258
580	7272	5244
581	7284	5232
582	7292	5216
583	7302	5201
584	7314	5188
585	7325	5175
586	7338	5163
587	7351	5151
588	7363	5138
589	7374	5124
590	7387	5112
591	7400	5100
592	7412	5087
593	7423	5073
594	7434	5060
595	7446	5047
596	7459	5035
597	7471	5022
598	7484	5010
599	7496	4997
600	7508	4984
601	7518	4970
602	7531	4958
603	7543	4945
604	7555	4932
605	7566	4919
606	7577	4906
607	7590	4894
608	7600	4880
609	7612	4866
610	7625	4854
611	7637	4841
612	7647	4827
613	7659	4815
614	7671	4802
615	7683	4789
616	7694	4776
617	7706	4763
618	7719	4751
619	7730	4738
620	7742	4725
621	7754	4712
622	7767	4700
623	7779	4687
624	7791	4675
625	7802	4661
626	7815	4649
627	7826	4636
628	7840	4624
629	7860	4616
630	7875	4605
631	7888	4593
632	7902	4581
633	7915	4569
634	7928	4557
635	7941	4544
636	7952	4531
637	7965	4519
638	7978	4507
639	7990	4494
640	8002	4481
641	8017	4470
642	8031	4459
643	8049	4449
644	8075	4444
645	8095	4436
646	8112	4426
647	8129	4415
648	8142	4403
649	8156	4391
650	8168	4378
651	8179	4365
652	8192	4353
653	8204	4340
654	8216	4327
655	8227	4314
656	8240	4301
657	8252	4289
658	8263	4276
659	8275	4263
660	8289	4251
661	8302	4239
662	8314	4226
663	8325	4213
664	8338	4200
665	8350	4187
666	8362	4175
667	8372	4161
668	8384	4148
669	8398	4136
670	8411	4124
671	8422	4111
672	8435	4098
673	8447	4086
674	8460	4073
675	8472	4060
676	8483	4047
677	8495	4034
678	8507	4022
679	8519	4008
680	8531	3996
681	8543	3983
682	8554	3970
683	8565	3957
684	8578	3944
685	8591	3932
686	8603	3919
687	8614	3906
688	8626	3893
689	8639	3881
690	8651	3868
691	8662	3855
692	8674	3842
693	8687	3830
694	8701	3818
695	8712	3805
696	8724	3792
697	8736	3779
698	8745	3766
699	8757	3753
700	8769	3740
701	8781	3727
702	8794	3715
703	8805	3702
704	8816	3689
705	8828	3676
706	8839	3663
707	8852	3651
708	8865	3638
709	8876	3625
710	8888	3612
711	8900	3600
712	8912	3587
713	8924	3574
714	8936	3562
715	8951	3550
716	8965	3538
717	8979	3526
718	8995	3515
719	9009	3503
720	9024	3492
721	9040	3480
722	9054	3469
723	9068	3457
724	9080	3444
725	9092	3431
726	9105	3419
727	9116	3406
728	9127	3393
729	9139	3380
730	9152	3367
731	9162	3354
732	9174	3341
733	9186	3329
734	9198	3316
735	9208	3302
736	9220	3290
737	9230	3276
738	9241	3263
739	9253	3251
740	9267	3239
741	9279	3226
742	9290	3213
743	9302	3200
744	9314	3188
745	9326	3175
746	9337	3162
747	9349	3149
748	9361	3137
749	9370	3123
750	9381	3110
751	9394	3098
752	9408	3086
753	9420	3073
754	9432	3060
755	9444	3048
756	9458	3036
757	9469	3023
758	9481	3010
759	9493	2997
760	9505	2985
761	9515	2972
762	9528	2959
763	9540	2947
764	9551	2934
765	9562	2921
766	9573	2908
767	9585	2895
768	9595	2882
769	9607	2869
770	9619	2857
771	9627	2843
772	9639	2830
773	9652	2818
774	9664	2805
775	9674	2792
776	9686	2780
777	9698	2767
778	9709	2754
779	9720	2741
780	9732	2729
781	9743	2716
782	9755	2703
783	9767	2690
784	9780	2678
785	9792	2666
786	9802	2653
787	9813	2640
788	9825	2627
789	9836	2614
790	9848	2602
791	9860	2589
792	9871	2576
793	9881	2563
794	9894	2551
795	9907	2539
796	9916	2525
797	9928	2513
798	9940	2500
799	9952	2488
800	9963	2475
801	9975	2462
802	9987	2450
803	9997	2437
804	10010	2424
805	10022	2412
806	10036	2400
807	10048	2387
808	10060	2375
809	10072	2362
810	10084	2350
811	10094	2337
812	10106	2324
813	10117	2311
814	10130	2299
815	10141	2286
816	10153	2274
817	10165	2261
818	10177	2249
819	10187	2236
820	10199	2223
821	10211	2211
822	10221	2198
823	10232	2185
824	10244	2173
825	10254	2160
826	10266	2147
827	10279	2135
828	10298	2124
829	10315	2112
830	10331	2101
831	10343	2088
832	10356	2076
833	10367	2063
834	10380	2051
835	10392	2038
836	10404	2026
837	10415	2013
838	10428	2001
839	10440	1988
840	10452	1976
841	10462	1963
842	10475	1950
843	10488	1938
844	10501	1926
845	10512	1913
846	10525	1901
847	10538	1888
848	10550	1876
849	10560	1863
850	10572	1851
851	10584	1838
852	10596	1826
853	10607	1813
854	10618	1800
855	10630	1788
856	10640	1775
857	10652	1762
858	10664	1750
859	10675	1737
860	10686	1725
861	10697	1712
862	10709	1700
863	10719	1687
864	10731	1674
865	10743	1662
866	10754	1649
867	10766	1637
868	10778	1624
869	10789	1612
870	10801	1599
871	10812	1587
872	10825	1574
873	10836	1562
874	10847	1549
875	10859	1537
876	10872	1524
877	10882	1512
878	10894	1499
879	10906	1487
880	10919	1474
881	10930	1462
882	10941	1449
883	10953	1437
884	10966	1424
885	10978	1412
886	10990	1400
887	11002	1387
888	11014	1375
889	11025	1362
890	11037	1350
891	11049	1337
892	11059	1325
893	11071	1312
894	11082	1300
895	11094	1287
896	11105	1275
897	11113	1262
898	11123	1249
899	11135	1237
900	11146	1224
901	11157	1212
902	11168	1199
903	11179	1187
904	11191	1174
905	11201	1162
906	11214	1149
907	11226	1137
908	11236	1124
909	11247	1112
910	11259	1100
911	11270	1087
912	11280	1074
913	11292	1062
914	11304	1050
915	11315	1037
916	11327	1025
917	11340	1012
918	11354	1000
919	11364	988
920	11373	975
921	11385	963
922	11396	950
923	11408	938
924	11420	925
925	11428	913
926	11440	900
927	11452	888
928	11464	876
929	11475	863
930	11486	851
931	11497	838
932	11508	826
933	11520	814
934	11532	801
935	11544	789
936	11557	777
937	11570	764
938	11582	752
939	11595	740
940	11605	727
941	11616	715
942	11628	702
943	11640	690
944	11650	678
945	11662	665
946	11675	653
947	11686	641
948	11697	628
949	11709	616
950	11722	603
951	11732	591
952	11744	579
953	11756	566
954	11769	554
955	11779	542
956	11788	529
957	11801	517
958	11811	504
959	11823	492
960	11835	480
961	11846	467
962	11857	455
963	11870	443
964	11884	431
965	11899	418
966	11915	406
967	11930	394
968	11943	382
969	11957	369
970	11971	357
971	11983	345
972	11995	332
973	12005	320
974	12017	308
975	12029	295
976	12040	283
977	12051	271
