iter	Logloss
0	0.5872866041
1	0.4995516902
2	0.4458502428
3	0.4019638621
4	0.3681923126
5	0.340683287
6	0.3254665861
7	0.3087560626
8	0.2934287592
9	0.2827675473
10	0.2763441762
11	0.2689537225
12	0.2625766605
13	0.2574017784
14	0.252831581
15	0.2502004682
16	0.2472268416
17	0.2448275656
18	0.2435681971
19	0.2419975482
20	0.2410104122
21	0.2394196498
22	0.2379917312
23	0.2372168638
24	0.2360539623
25	0.2353284413
26	0.2348208642
27	0.2341772508
28	0.2335064736
29	0.2329812946
30	0.2325485219
31	0.2322608804
32	0.2317975846
33	0.2313607915
34	0.2310099141
35	0.2304388742
36	0.2301352861
37	0.2298364341
38	0.2295065302
39	0.2290854329
40	0.2286716768
41	0.2284950622
42	0.2282860928
43	0.2280041988
44	0.2278533897
45	0.2275715778
46	0.2273985563
47	0.2272585609
48	0.2271056686
49	0.2270166575
50	0.2268147896
51	0.2267373051
52	0.2264377596
53	0.2262624126
54	0.2260403794
55	0.2258190153
56	0.2256632123
57	0.2255194955
58	0.2253077227
59	0.2251946785
60	0.2250196167
61	0.2248379373
62	0.2246694318
63	0.2245076062
64	0.2243870051
65	0.2242923531
66	0.2241857554
67	0.22410544
68	0.2240075511
69	0.2238959478
70	0.2238371904
71	0.2237516066
72	0.2236165277
73	0.223544977
74	0.2233840467
75	0.2231576022
76	0.2230335672
77	0.2229021302
78	0.222783342
79	0.2226351571
80	0.222468382
81	0.2223229381
82	0.2222342862
83	0.2220995131
84	0.2219544195
85	0.2217444948
86	0.2215490917
87	0.221462076
88	0.2213318053
89	0.221221775
90	0.2211510345
91	0.2210720357
92	0.220991333
93	0.2209407386
94	0.2208751421
95	0.2206861476
96	0.2206128336
97	0.2204665431
98	0.2203417259
99	0.2202970632
100	0.2201571673
101	0.2200536392
102	0.2199841549
103	0.2198442952
104	0.2197497329
105	0.2196442576
106	0.2194342471
107	0.2192446712
108	0.2190753481
109	0.2189261974
110	0.2187548736
111	0.2186080015
112	0.2185275306
113	0.2184564027
114	0.2183703737
115	0.2182520217
116	0.21816661
117	0.2179978548
118	0.2178400633
119	0.2177184195
120	0.2176205783
121	0.2175714097
122	0.2174415108
123	0.2173320586
124	0.2171454813
125	0.2170176172
126	0.2168902848
127	0.216809556
128	0.2166574593
129	0.2165429098
130	0.2164597352
131	0.2162739632
132	0.2161095671
133	0.2159834301
134	0.2158464033
135	0.2157517322
136	0.2155725828
137	0.2154431907
138	0.2153640582
139	0.2151609768
140	0.2148896511
141	0.2147395338
142	0.2146963603
143	0.2144677568
144	0.2143405191
145	0.2142156999
146	0.2140580964
147	0.2139133885
148	0.213783067
149	0.2136643125
